,title,budget_musd,budget_musd,revenue_musd,revenue_musd,vote_average,popularity,ROI,vote_count
,count,sum,mean,sum,mean,mean,mean,median,mean
belongs_to_collection,,,,,,,,,
Alone in the Dark Collection,2,24.6,12.3,10.442808,10.442808,3.1,7.055015,0.5221404,98.5
Alpha and Omega Collection,3,20.0,20.0,39.3,39.3,4.966666666666667,4.464439,1.9649999999999999,50.333333333333336
Alvin and the Chipmunks Collection,4,210.0,70.0,1380.9576260000001,345.23940650000003,5.475,11.02231475,5.9085334,709.25
Always: Sunset on Third Street Collection,1,0.0,,33.053559,33.053559,7.4,0.418197,,10.0
American Addict Collection,1,0.0,,0.0,,6.3,0.295863,,5.0
American Graffiti Collection,2,3.277,1.6385,155.014674,77.507337,5.85,6.1365050000000005,93.09302489009009,176.5
American Ninja Collection,5,1.0,1.0,10.499694,10.499694,4.68,3.5666652,10.499694,41.6
American Pie (Spin-off) Collection,4,10.0,10.0,0.0,,5.275,8.008587,,498.5
American Pie Collection,4,146.0,36.5,989.4753860000001,247.36884650000002,6.125,12.7746215,7.142455756666668,1633.0
American Psycho Collection,2,17.0,8.5,34.266564,34.266564,5.949999999999999,9.3277645,4.895223428571429,1104.5
An American Girl Collection,10,6.8,6.8,0.0,,5.25,1.9407392,,8.7
Anaconda Collection,4,65.0,32.5,207.87866499999998,103.93933249999999,4.4,8.127699250000001,3.2957754166666664,231.25
Analyze Collection,2,140.0,70.0,231.88879300000002,115.94439650000001,6.050000000000001,8.7807145,1.5638948208333332,448.5
Anatomy Collection,1,0.0,,0.0,,6.1,5.566781,,61.0
Anche gli angeli - Collezione,2,0.0,,0.0,,3.35,3.3561639999999997,,22.0
Anchorman Collection,3,76.0,38.0,264.223203,132.1116015,6.066666666666666,6.995302333333334,3.4783014576923077,839.3333333333334
Anders Matthesen,3,0.0,,0.0,,6.466666666666666,1.1609323333333335,,13.666666666666666
Angelique Collection,1,0.0,,0.0,,7.0,4.004188,,30.0
Anglo-Zulu War Collection,2,3.5,3.5,8.0,8.0,6.5,6.937898499999999,2.2857142857142856,86.0
Animation Runner Kuromi (OAV collection),2,0.0,,0.0,,6.25,0.0532745,,1.0
Aniskin Collection,1,0.0,,0.0,,6.0,0.349144,,1.0
Anja & Viktor Collection,1,0.0,,0.0,,7.1,1.375491,,7.0
Annabelle Collection,1,6.5,6.5,255.273813,255.273813,5.5,23.242452,39.272894307692304,1588.0
Anne of Green Gables Collection,3,1.1,1.1,0.0,,7.466666666666666,4.493382666666666,,44.333333333333336
Annie Collection,2,50.0,50.0,57.059003,57.059003,4.9,5.219939500000001,1.14118006,105.5
Annika Bengtzon Collection,3,3.0,3.0,0.0,,5.8999999999999995,1.5008100000000002,,9.666666666666666
Another Gay Movie Collection,2,0.5,0.5,0.7453270000000001,0.7453270000000001,5.2,4.0221745,1.4906540000000001,37.0
Ant-Man Collection,1,130.0,130.0,519.311965,519.311965,7.0,26.882388,3.994707423076923,6029.0
Antboy Collection,2,0.0,,0.0,,6.0,4.0588515,,29.5
Ants in the Pants Collection,2,0.0,,0.0,,4.3,2.1727965,,26.0
Apocalypse Collection,1,0.0,,0.0,,4.5,0.57391,,2.0
Appleseed Collection,3,10.0,10.0,1.461989,1.461989,6.6000000000000005,5.9794843333333345,0.1461989,116.33333333333333
Arabian Nights,1,0.0,,0.0,,7.4,1.052262,,12.0
Argo Collection,1,0.0,,0.0,,9.3,0.4994,,2.0
Armitage III Collection,1,0.0,,0.0,,6.4,3.125124,,14.0
Armour of God Collection,3,63.0,31.5,0.0,,6.6000000000000005,10.193564666666667,,162.0
Arn collection,2,25.0,25.0,0.0,,6.25,5.57819,,54.0
Art of the Devil Collection,1,0.0,,0.0,,5.4,1.01079,,10.0
Arthur Collection,2,7.0,7.0,110.14287399999999,55.071436999999996,5.5,9.261377000000001,13.637383142857143,84.0
Arthur and the Invisibles Collection,3,243.2,81.06666666666666,107.944236,107.944236,5.566666666666666,10.865413333333334,1.255165534883721,475.3333333333333
Assassination Classroom Collection,1,0.0,,0.0,,6.0,1.980745,,22.0
Asterix and Obelix (Animation) Collection,9,30.0,30.0,0.0,,6.6,7.145704555555556,,185.22222222222223
Asterix and Obelix Collection,4,158.2504,79.1252,245.671613,81.89053766666667,5.75,9.665585,1.366575355988253,500.75
Atlantis Collection,2,120.0,120.0,186.053725,186.053725,6.050000000000001,9.326569,1.5504477083333332,711.5
Atlas Shrugged Collection,4,20.0,10.0,5.474079,2.7370395,4.65,2.123121,0.23891623333333334,30.25
Ator Collection,4,0.0,,0.0,,3.225,1.49035875,,9.0
Attack on Titan Collection,2,0.0,,0.0,,5.05,6.209461,,125.0
Aurélie Laflamme Collection,1,0.0,,0.0,,7.8,0.357328,,5.0
Austin Powers Collection,3,112.5,37.5,675.2795060000001,225.09316866666668,6.166666666666667,11.506664666666666,4.7088163650793655,1021.3333333333334
Avatar Collection,1,237.0,237.0,2787.965087,2787.965087,7.2,185.070892,11.763565767932489,12114.0
Azumi Collection,2,0.0,,0.0,,6.45,6.5852325,,68.0
Babe Collection,2,120.0,60.0,323.26677,161.633385,5.65,10.317196500000001,4.619647722222222,534.0
Baby Burlesks,2,0.0,,0.0,,5.3,0.0756945,,1.0
Babylon 5 Collection,7,0.0,,0.0,,6.485714285714286,5.047366714285714,,37.57142857142857
Babysitting,2,0.0,,0.0,,6.75,6.29806,,479.5
Bachelor Party Collection,2,12.0,6.0,38.435947,38.435947,5.65,6.3106685,6.4059911666666665,84.0
Back to the Future Collection,3,99.0,33.0,957.637345,319.2124483333333,7.5,17.504121,8.3,4381.0
Bad Ass Collection,3,10.8,5.4,0.0,,5.6000000000000005,5.946116,,84.0
Bad Boys Collection,2,149.0,74.5,414.74658,207.37329,6.4,8.72681,4.772543458299595,1658.5
Bad Kids Collection,2,5.0,5.0,0.0,,4.5,2.6991515,,29.0
Bad Santa Collection,2,49.0,24.5,94.271067,47.1355335,5.7,9.194652,2.0047668963210703,441.0
Bahubali Collection,2,58.0,29.0,330.0,165.0,7.1,10.4259655,7.638888888888889,149.5
Balto Collection,3,0.0,,11.348324,11.348324,6.633333333333333,7.55215,,202.33333333333334
Bambi Collection,2,0.858,0.858,267.44715,267.44715,6.4,10.744485999999998,311.7099650349651,824.5
Bananas!* Collection,2,0.0,,0.0,,6.4,0.3995875,,6.0
Bang Rajan Collection,1,0.0,,0.0,,6.9,1.1483370000000002,,7.0
Barbarian Queen Collection,2,0.0,,0.0,,3.9,1.3912274999999998,,6.0
Barbershop Collection,3,50.0,16.666666666666668,195.88210500000002,65.29403500000001,6.033333333333334,7.773643,3.6150228888888893,129.0
Barbie A Mermaid Tale Collection,2,0.0,,31.930745,15.9653725,6.1,4.8955340000000005,,69.0
Barbie Fairytopia Collection,3,0.0,,0.0,,6.033333333333334,7.526554999999999,,87.66666666666667
Barbie Mariposa Collection,2,0.0,,0.0,,5.949999999999999,4.1136815,,55.0
