,title,budget_musd,budget_musd,revenue_musd,revenue_musd,vote_average,popularity,ROI,vote_count
,count,sum,mean,sum,mean,mean,mean,median,mean
belongs_to_collection,,,,,,,,,
Cross Collection,1,2.0,2.0,0.0,,3.9,4.171114,,13.0
Cross of Iron Collection,2,6.0,6.0,0.0,,6.699999999999999,5.042196,,46.5
"Crouching Tiger, Hidden Dragon Collection",2,37.0,18.5,213.525736,213.525736,6.6,14.3707445,12.560337411764706,561.5
Crows Collection,3,0.0,,0.0,,6.766666666666667,4.300321666666666,,43.666666666666664
Cruel Intentions Collection,3,10.5,10.5,75.902208,75.902208,5.1000000000000005,5.277924333333334,7.228781714285715,331.0
Cube Collection,3,1.075,0.5375,0.501818,0.501818,6.0,12.057081666666667,2.007272,586.0
Curious George Collection,3,50.0,50.0,69.834815,69.834815,6.3999999999999995,5.068741999999999,1.3966963000000001,39.0
CyberTracker Collection,1,0.0,,0.0,,4.6,1.14583,,5.0
Cyborg 009 Collection,1,0.0,,0.0,,5.7,1.607827,,11.0
Cyborg Collection,3,5.5,2.75,10.166459,10.166459,3.766666666666667,4.677845666666666,20.332918,64.0
Cyborg Cop Trilogy,2,0.0,,0.0,,3.0,0.538018,,5.0
DC Super Hero Girls Collection,2,0.0,,0.0,,7.4,4.908266,,6.5
DMB Collection,1,0.0,,0.0,,6.1,1.601712,,11.0
Dabangg Collection,2,23.02,11.51,0.0,,5.5,4.757382,,39.5
Daddy Day Camp Collection,2,66.0,33.0,182.63126499999998,91.31563249999999,5.0,5.95957,2.886732058333333,310.0
Daddy's Home Collection,1,50.0,50.0,242.786137,242.786137,5.8,8.009226,4.85572274,870.0
Daffy Duck Movie Collection,2,0.0,,0.0,,6.0,1.1539679999999999,,13.0
Dark Planet Collection,2,36.5,36.5,27.708716000000003,13.854358000000001,4.85,1.905455,0.5982149315068493,19.0
Dark Rising Collection,1,0.0,,0.0,,3.0,0.849195,,2.0
Dark Woods Collection,2,0.0,,0.0,,5.300000000000001,1.8690890000000002,,21.0
Dark World Collection,2,0.0,,2.118871,2.118871,4.15,1.763216,,12.0
Darkman Collection,3,16.0,16.0,48.87850200000001,48.87850200000001,4.866666666666666,5.149409333333332,3.0549063750000007,126.66666666666667
Darko Collection,2,10.0,5.0,5.370521999999999,2.6852609999999997,5.65,13.131556499999999,0.6183768333333333,1849.0
Das Sams Collection,2,0.0,,0.0,,5.1,0.8492035,,7.5
Davy Crockett Collection,2,0.0,,0.0,,5.9,3.3353064999999997,,13.0
Dead Rising Collection,2,0.0,,0.0,,5.0,6.3713025000000005,,99.5
Dead Snow Collection,2,0.8,0.8,2.022135,1.0110675,6.4,9.1309265,2.4808274999999997,256.0
Dead Space Collection,2,2.5,2.5,0.0,,5.9,4.991111,,60.5
Dead in Tombstone Collection,1,5.2,5.2,0.0,,4.8,6.065874,,59.0
Dead or Alive Collection,3,0.0,,0.0,,6.166666666666667,0.9305506666666666,,25.0
Deadly Prey Collection,1,0.0,,0.0,,5.5,1.737379,,16.0
Deadpool Collection,1,58.0,58.0,783.112979,783.112979,7.4,187.860492,13.501947913793103,11444.0
Death Note Collection,3,20.0,20.0,108.7348,36.244933333333336,6.466666666666666,7.641541000000001,1.38966,116.66666666666667
Death Note Relight,1,0.0,,0.0,,7.2,0.635941,,17.0
Death Race Collection,3,58.5,19.5,73.762516,73.762516,5.6000000000000005,11.049243333333331,1.6391670222222223,586.3333333333334
Death Race Original Collection,2,0.3,0.3,8.0,8.0,4.85,5.6371485,26.666666666666668,84.0
Death Wish Collection,5,19.0,4.75,85.647565,21.41189125,5.959999999999999,8.384968400000002,4.608065055555556,80.8
Deathstalker Collection,4,0.0,,8.890685000000003,8.890685000000003,3.025,1.3040815000000001,,12.0
Decoys Collection,2,6.5,3.25,0.0,,5.050000000000001,5.1890825000000005,,23.5
Demetrius Filmreihe,2,8.6,4.3,36.0,36.0,6.4,2.467383,8.78048780487805,27.5
Demonic Toys Collection,3,0.0,,0.0,,3.866666666666667,2.5606036666666667,,17.0
Demons Collection,2,3.3,1.65,0.0,,6.15,7.965589,,86.0
Dennis the Menace Collection,2,37.0,18.5,117.270765,117.270765,5.15,5.79734,3.3505932857142855,147.5
Department Q series,3,5.21,5.21,5.9,5.9,6.933333333333334,9.072369666666667,1.1324376199616124,143.0
Der Bockerer Collection,1,0.0,,0.0,,6.8,0.355935,,8.0
Descendants Collection,2,0.0,,0.0,,7.1,14.222895999999999,,338.0
Design Trilogy,3,0.0,,0.0,,7.3,2.8121593333333337,,53.333333333333336
Despicable Me Collection,6,299.0,74.75,3691.070216,922.767554,6.783333333333334,106.71596133333337,12.76198749868421,3041.3333333333335
Destricted,1,0.0,,0.0,,4.8,2.430308,,12.0
Detective Collection,2,0.0,,0.0,,6.2,0.7792180000000001,,12.5
Detective Conan Collection,2,0.0,,0.0,,7.35,3.7567340000000007,,30.5
Detective Dee Collection,2,13.0,13.0,124.01106799999997,62.00553399999998,6.2,10.6699995,3.9787142307692305,85.5
Detective K Collection,2,0.0,,0.0,,7.4,1.1683789999999998,,8.5
Detonator Collection,1,0.0,,0.0,,4.4,12.895711,,17.0
Deuce Bigalow Collection,2,39.0,19.5,87.935221,43.9676105,5.0,5.9544555,2.4365963796791443,273.0
Devasuram Collection,1,0.0,,0.0,,6.4,1.140929,,8.0
Dexter Riley Collection,3,0.0,,0.0,,6.033333333333334,2.6272446666666665,,21.666666666666668
Dhamaal Collection,2,0.0,,0.0,,5.25,1.3646,,12.5
Dhoom Series,3,32.0,10.666666666666666,149.39642700000002,49.798809000000006,6.033333333333334,4.082380333333334,4.666666666666667,69.33333333333333
Diary of a Wimpy Kid Collection,4,80.0,20.0,265.350212,66.337553,6.075,14.74195675,3.476773121212121,224.0
Dick Tracy 1940s Collection,2,0.0,,0.0,,5.5,0.39727999999999997,,4.0
Die Fritz Lang Indien-Edition,2,0.0,,0.0,,5.800000000000001,1.3666885,,17.5
Die Hard Collection,5,390.0,78.0,1435.086362,287.0172724,6.5200000000000005,15.584653,3.486649672727273,2732.0
Die Kirche bleibt im Dorf Collection,1,0.0,,0.0,,4.5,0.291696,,4.0
Die Nibelungen Collection,2,0.0,,0.0,,7.6,1.328176,,16.5
Die Nibelungen Filmreihe,1,0.0,,0.0,,6.3,1.3112629999999998,,4.0
Digimon Collection,1,5.5,5.5,0.0,,6.2,5.3005010000000015,,76.0
Dirty Dancing Collection,2,31.0,15.5,241.63929000000002,120.81964500000001,6.55,9.2597405,18.383223153333336,762.5
Dirty Harry Collection,5,55.0,13.75,189.622693,47.40567325,6.8,8.9671862,5.137333333333333,310.0
Disney Buddies Collection,7,9.0,9.0,0.0,,4.914285714285714,6.066134857142857,,32.857142857142854
Disneys Große Pause,1,10.0,10.0,44.46085,44.46085,6.6,4.1956940000000005,4.446085,68.0
District 13 Collection,2,27.0,13.5,18.370506,9.185253,6.25,8.364049,0.6922179583333332,447.5
Divergent Collection,3,305.0,101.66666666666667,763.232964,254.410988,6.333333333333333,22.615314333333334,2.6839836454545454,3589.6666666666665
Dixie Zombi - Colección,1,0.0,,0.0,,5.3,1.885686,,5.0
Django - Original films,2,0.0,,0.017277,0.017277,5.85,2.7159820000000003,,80.0
Dolemite Collection,2,0.0,,0.0,,5.65,1.3117405,,14.5
Dolphin Tale Collection,2,73.0,36.5,147.82893,73.914465,6.65,7.4819565,2.0173671219969966,132.0
Don Camillo Collection,3,0.0,,0.0,,7.333333333333333,3.0258376666666664,,37.0
Don Collection,2,7.1,7.1,0.0,,7.199999999999999,6.291638000000001,,66.5
Don't Go Breaking My Heart Collection,1,0.0,,0.0,,6.6,1.424099,,14.0
Doraemon Collection,1,35.0,35.0,83.06115799999998,83.06115799999998,7.0,6.493765,2.3731759428571424,103.0
Dorm Daze Collection,2,0.0,,0.263941,0.263941,4.35,3.615087,,25.5
Dr Goldfoot Collection,2,0.0,,0.0,,5.699999999999999,5.312219,,14.0
Dr. Dolittle Collection,5,141.0,70.5,470.56094900000005,235.28047450000003,5.0600000000000005,5.490308199999999,3.3315262348088535,251.4
Dr. Mabuse Collection,1,0.0,,0.0,,7.1,1.685889,,11.0
Dr. Phibes Collection,2,3.075,1.5375,0.0,,6.550000000000001,6.031123,,58.0
Dr. Who Collection,2,1.2999990000000001,0.6499995000000001,0.0,,6.15,2.5926705,,21.5
Dracula (Hammer Series),9,0.984942,0.328314,0.909413,0.4547065,6.111111111111111,5.151353111111111,1.3015846407897882,46.666666666666664
Dracula (Universal Series),4,0.355,0.355,1.012189,1.012189,6.525,5.9992575,2.85123661971831,78.5
Dracula 2000 Collection,3,31.5,15.75,33.000337,33.000337,4.466666666666666,3.4984236666666675,1.1785834642857143,68.0
Dragon Ball Collection,4,0.0,,0.0,,6.425,2.3674245,,36.75
Dragon Ball Z (Movie) Collection,15,5.0,5.0,112.121192,56.060596,6.6066666666666665,6.1835629333333335,12.353638,133.33333333333334
Dragon Ball Z OVA Collection,5,0.0,,0.0,,6.6,3.1519611999999997,,54.0
Dragon Nest Collection,1,40.0,40.0,0.0,,6.8,3.028163,,19.0
DragonHeart Collection,4,57.0,57.0,115.267375,115.267375,5.525,12.846218,2.022234649122807,182.5
Dream a Little Dream Collection,2,0.0,,0.0,,5.9,7.4593605,,14.5
Dreileben,1,0.0,,0.0,,9.0,0.085509,,2.0
Drunken Master Collection,3,0.0,,0.0,,6.466666666666666,5.511940666666668,,142.33333333333334
Ducobu Collection,1,0.0,,0.0,,4.9,3.582418,,79.0
Dumb and Dumber Collection,3,75.0,25.0,456.3798990000001,152.12663300000003,5.333333333333333,11.509064333333333,4.245925250000001,1081.6666666666667
Dungeons & Dragons Collection,3,47.0,23.5,15.185241,15.185241,4.3,5.343125666666666,0.4338640285714286,70.66666666666667
Düğün Dernek Collection,1,0.0,,0.0,,6.8,1.3861450000000002,,12.0
East Side Kids,1,0.0,,0.0,,6.5,0.11681,,2.0
East is East Collection,2,7.637625,3.8188125,32.067,16.0335,6.4,2.944016,4.214353552687295,37.5
Easy Money Collection,3,0.0,,0.0,,6.033333333333334,5.480392999999999,,34.0
Eating Out Series,4,0.05,0.05,0.0,,5.875,2.0115105,,23.5
Eberhofer Krimi Collection,1,0.0,,0.0,,6.4,1.406317,,18.0
Eccezzziunale... veramente Collections,1,0.0,,0.0,,5.9,0.002538,,41.0
Eddie and the Cruisers Collection,2,0.0,,4.786789,4.786789,6.5,2.673631,,23.0
Eden of the East Collection,2,0.0,,0.0,,6.85,1.020962,,20.0
El pico - Colección,2,0.0,,2.264522,1.132261,5.699999999999999,0.36062400000000006,,4.5
Election Collection,2,0.0,,0.0,,6.9,3.2280425,,44.0
Elektra Luxx Collection,2,3.0,3.0,0.018106999999999998,0.009053499999999999,4.95,5.585537499999999,0.006032333333333333,39.5
Elements Trilogy,3,0.0,,11.452892,3.8176306666666666,6.433333333333334,3.804072,,20.333333333333332
Elite Squad Collection,2,4.0,4.0,63.02768100000001,63.02768100000001,7.65,11.546967,,498.0
Elizabeth Collection,2,85.0,42.5,156.388205,78.1941025,6.9,7.587282,2.0440643030303027,328.0
Elling Collection,2,0.0,,0.0,,6.35,1.3079705,,27.0
Elvira Collection,1,0.0,,5.596267,5.596267,6.1,5.554398,,88.0
Emil i Lönneberga,2,0.0,,0.0,,6.15,2.3891240000000002,,14.0
Emmanuelle 2000 Collections (USA),1,0.0,,0.0,,3.5,0.19188,,2.0
Emmanuelle Collection,6,0.5,0.5,0.0,,4.716666666666667,4.243748166666666,,20.333333333333332
Encounters of the Spooky Kind Collection,1,0.0,,0.731753,0.731753,6.3,2.527755,,20.0
Enter the Ninja Collection,3,0.0,,13.168027,13.168027,5.733333333333333,5.763347,,22.0
Epoch Collection,2,0.0,,0.0,,3.8,4.398181,,10.0
Erkan & Stefan Filmreihe,2,0.0,,4.508104,4.508104,3.9499999999999997,0.911421,,8.0
Ernest Collection,9,9.0,4.5,51.711491,25.8557455,4.511111111111111,2.198548111111111,6.268406083333334,23.11111111111111
Erotic Ghost Story Collection,1,0.0,,0.0,,7.5,0.4348229999999999,,3.0
Escape From ... Collection,2,56.0,28.0,92.522065,46.2610325,6.25,11.1769625,4.609831983333334,550.5
Europa Trilogy,3,0.0,,0.0,,6.733333333333333,2.813693,,47.0
Evangelion Collection,2,0.0,,20.0,20.0,7.75,4.386846,,89.0
Evil Bong Collection,2,0.0,,0.0,,4.25,1.9632415,,11.0
Evil Dead Collection,3,14.95,4.983333333333333,35.323043999999996,17.661521999999998,7.366666666666667,11.549018333333334,42.822645,841.6666666666666
Ex Collection,1,10.0,10.0,0.0,,5.4,5.0481440000000015,,101.0
Extralarge Collection,1,0.0,,0.0,,,0.421229,,0.0
Eye of the Dolphin Collection,2,5.0,2.5,0.071904,0.071904,6.8,0.7309,0.0287616,8.5
"F*ck You, Goethe Collection",2,5.0,5.0,83.027924,83.027924,6.85,11.089135500000001,,453.5
F.C. De Kampioenen Collectie,1,3.849796,3.849796,7.471303999999999,7.471303999999999,6.3,0.8521860000000001,1.9407012735220253,8.0
F/X Collection,2,16.4,16.4,20.603715,20.603715,6.1,4.9036865,,64.5
Faces of Death Collection,6,0.0,,0.0,,3.3200000000000003,1.044049,,11.833333333333334
Fallen Collection,1,0.0,,0.0,,6.4,5.376538,,40.0
Family Guy Presents Collection,2,0.0,,0.0,,7.2,6.962326,,113.5
Fanny Brice Collection,2,14.0,14.0,52.223306,52.223306,6.0,3.0902615,3.730236142857143,57.0
Fantasia Collection,2,82.28,41.14,174.19457,87.097285,7.1,11.505266500000001,18.839895887061402,565.5
Fantastic Beasts Collection,1,180.0,180.0,809.342332,809.342332,7.2,41.05142100000001,4.496346288888889,5612.0
Fantastic Four Collection,2,230.0,115.0,619.627482,309.813741,5.45,16.153168,2.7646207603846156,2844.0
Fanthagirò Collection,1,0.0,,0.0,,6.0,1.929422,,33.0
Fantomas Collection,3,0.0,,0.0,,6.8,5.845545333333334,,95.0
Fantozzi Collection,10,0.0,,0.0,,6.21,3.6033842,,78.5
Fantômas Serial,5,0.0,,0.0,,6.220000000000001,0.5108118,,9.2
Fast Getaway Collection,1,0.0,,0.0,,6.2,0.953081,,5.0
"Fat, Sick & Nearly Dead",2,0.0,,0.0,,6.65,1.5994410000000001,,34.0
Fatal Fury Collection,1,0.0,,0.0,,5.2,0.345017,,7.0
Father Flanagan Collection,1,0.0,,0.0,,6.6,1.437573,,25.0
Father and Guns Collection,1,0.0,,0.0,,6.1,1.030775,,11.0
Father of Four Collection,1,0.0,,0.0,,4.8,0.447242,,3.0
Father of the Bride Collection,2,0.0,,165.904691,82.9523455,5.95,6.939070500000001,,264.0
Fear Collection,1,0.0,,0.0,,3.4,0.268043,,7.0
Fearless Hyena Collection,2,0.0,,0.0,,6.65,2.6820975000000002,,19.0
Feast Collection,3,2.0,2.0,0.658573,0.658573,5.566666666666666,7.180880000000001,,86.0
Feluda Collection,2,0.0,,0.0,,7.6,1.6615499999999999,,5.5
FernGully Collection,2,0.0,,32.710894,32.710894,5.449999999999999,4.375641,,83.5
Fievel Collection,4,9.0,9.0,125.308043,62.6540215,6.075,7.45879875,9.393555777777777,147.5
Fifty Shades Collection,2,95.0,47.5,949.833622,474.916811,5.6,31.099436999999998,10.58146290909091,2845.5
Fight Back to School Collection,1,0.0,,0.0,,6.8,1.671627,,23.0
Fimfárum (kolekce),2,0.0,,0.0,,6.15,0.18604300000000001,,2.5
Final Destination Collection,5,161.0,32.2,605.502659,121.1005318,5.880000000000001,12.23824,3.477938653846154,1041.0
Final Fantasy Collection,4,137.0,137.0,85.40181000000003,42.70090500000001,6.45,8.9304585,0.6214002189781024,235.0
Finding Nemo Collection,2,294.0,147.0,1968.9064250000001,984.4532125000001,7.199999999999999,19.9877355,7.573211988457448,5312.5
Firestarter Collection,2,25.0,12.5,17.080167000000007,17.080167000000007,5.6,4.8147865,1.1386778000000004,98.5
Fist of the North Star: The Legends of the True Savior,5,0.0,,0.0008619999999999,0.0008619999999999,5.859999999999999,1.5552584,,7.6
Flatfoot Collection,4,0.0,,0.0,,5.875,2.60687425,,33.5
Flatland Collection,1,0.0,,0.0,,6.2,0.343896,,6.0
Flesh Gordon Collection,1,0.7,0.7,0.0,,4.5,3.062497,,28.0
Fletch Collection,2,16.04576,8.02288,94.763848,47.381924,6.3,8.198855,5.9102455031818,154.0
Flodder Collection,3,0.0,,0.0,,5.933333333333334,5.7028989999999995,,22.666666666666668
Flower & Snake Collection,1,0.0,,0.0,,5.4,2.05075,,8.0
Flower Shop Mystery Collection,1,0.0,,0.0,,7.1,2.206077,,7.0
Flower and Snake Collection,1,0.0,,0.0,,,1.245621,,0.0
Flowers in the Attic Collection,3,0.0,,0.0,,6.333333333333333,4.133102666666667,,61.0
Flubber Collection,2,0.0,,0.0,,6.7,3.1268955,,28.5
Flying Guillotine Collection,2,0.0,,0.0,,6.449999999999999,0.6593955,,5.0
Fontaine Khaled Collection,1,0.0,,0.0,,5.0,0.857558,,6.0
Footsoldier Collection,1,4.0,4.0,0.0,,6.8,11.397219,,80.0
Force Collection,1,0.0,,0.0,,6.2,1.549113,,11.0
Fortress Collection,2,19.0,9.5,6.739141,6.739141,5.15,4.286899,0.842392625,111.0
Frankenstein (Hammer Series),6,0.0,,0.0,,6.45,3.7313568333333333,,32.5
Frankenstein (Universal Series),5,0.68475,0.342375,12.0,12.0,6.859999999999999,5.043949,41.23711340206186,120.2
Freche Mädchen Filmreihe,1,0.0,,0.0,,5.5,1.231199,,8.0
Fred Collection,1,0.0,,0.0,,3.5,2.483323,,34.0
Free Willy Collection,3,20.0,20.0,153.698625,153.698625,5.7,6.557834333333333,7.68493125,211.66666666666666
Freeway Collection,2,3.0,3.0,0.0,,6.25,3.820546,,54.0
French Connection Collection,2,1.8,1.8,53.643201000000005,26.821600500000002,7.0,12.6184745,22.865976111111113,265.0
French Fried Vacation,3,0.0,,0.0,,6.033333333333334,6.225832666666666,,212.66666666666666
Friday Collection,3,34.5,11.5,121.570081,40.523360333333336,6.5,10.143307,5.438848,253.66666666666666
Friday the 13th Collection,12,84.4,7.033333333333334,464.898544,38.741545333333335,5.425,9.760807166666666,6.6685572976190475,326.5833333333333
Fright Night (Reboot) Collection,2,25.0,12.5,24.922237,24.922237,5.2,10.2090695,1.4660139411764705,349.0
Fright Night Collection,2,9.0,9.0,27.906021,13.9530105,6.65,6.6251835,2.7691374444444445,180.0
Fritz the Cat Collection,2,0.85,0.85,0.0,,5.300000000000001,2.290755,,35.5
From Dusk Till Dawn Collection,3,29.0,9.666666666666666,25.836616,25.836616,5.3,11.318746333333332,1.3598218947368421,612.3333333333334
Frosty the Snowman Collection,2,0.0,,0.0,,7.050000000000001,2.5184310000000005,,41.5
Frozen Collection,2,150.0,150.0,1274.219009,1274.219009,7.1,16.8787885,8.494793393333333,3035.0
Fu Manchu Collection,4,0.0,,0.0,,4.75,0.5446562500000001,,4.25
Fubar Collection,2,0.35,0.35,0.0,,6.2,0.8569574999999999,,12.5
Fuga de cerebros - Collection,2,0.0,,0.0,,5.45,1.896975,,33.0
Fullmetal Alchemist Collection,2,0.0,,7.40148,7.40148,6.95,5.989408000000001,,64.5
Futurama Collection,4,0.0,,0.0,,7.1000000000000005,7.4847725,,158.25
G.I. Joe (Live-Action) Collection,2,305.0,152.5,674.3452950000001,337.17264750000004,5.5,11.173833,2.2944905683516486,2516.5
Galaxy Express 999 Collection,1,0.0,,0.0,,6.2,1.356131,,12.0
Gamera Films,8,0.0,,0.0,,5.225,0.828997375,,9.875
Gamma One Collection,2,0.0,,0.0,,3.4,0.7450485,,5.0
Gangs of Wasseypur Collection,1,1.4,1.4,4.1,4.1,7.0,9.777219,2.9285714285714284,83.0
Gantz Collection,2,0.0,,0.0,,6.55,6.9159265,,61.5
Garage Sale Mystery Collection,1,0.0,,0.0,,5.9,1.975668,,15.0
Garfield (Animation) Collection,3,0.0,,0.0,,5.366666666666667,3.1038023333333338,,20.0
Garfield Collection,2,50.0,50.0,342.506798,171.253399,5.15,8.610528,4.01609068,664.0
Garfield Holiday Celebrations,2,0.0,,0.0,,6.9,1.6332485,,12.0
Gasland Collection,2,0.0,,0.0,,7.45,2.370379,,31.5
Gator Collection,2,0.0,,0.0,,5.550000000000001,2.8295380000000003,,18.5
George Carlin Comedy Collection,13,0.0,,0.0,,7.4692307692307685,1.2969173076923077,,12.538461538461538
George of the Jungle Collection,2,55.0,55.0,0.0,,4.65,10.722741,,302.5
Get Smart Collection,2,0.0,,0.0,,4.6,2.108857,,11.0
Ghost Rider Collection,2,167.0,83.5,377.955748,188.977874,4.95,10.661827500000001,2.348644134848485,1458.5
Ghost in the Shell Collection,3,0.0,,12.077364999999999,6.038682499999999,7.5,9.627990666666667,,400.3333333333333
Ghost in the Shell: Arise,6,0.0,,0.101203,0.101203,7.033333333333334,3.8621051666666664,,34.666666666666664
Ghost in the Shell: Stand Alone Complex,2,3.2,3.2,0.0,,7.85,5.3240359999999995,,54.0
Ghostbusters Collection,3,211.0,70.33333333333333,739.754714,246.5849046666667,6.3,18.555570666666668,5.821479405405405,1921.6666666666667
Ghoulies Collection,4,1.0,1.0,35.0,35.0,3.9000000000000004,3.08796425,35.0,32.25
Ginger Snaps Collection,3,5.0,5.0,0.0,,6.266666666666667,3.883062666666666,,112.33333333333333
Girl's on Top Collection,2,0.0,,0.0,,4.65,1.521741,,16.5
Glass Tiger collection,1,0.0,,0.0,,8.5,0.8084180000000001,,12.0
Goal! Collection,3,30.2304,15.1152,27.610873,27.610873,5.3999999999999995,5.834976,0.9203624333333333,142.33333333333334
God of Gamblers Collection,1,0.0,,4.7623370000000005,4.7623370000000005,6.6,2.608728,,34.0
God's Not Dead Collection,2,22.0,11.0,53.296567,26.6482835,5.75,6.0277484999999995,3.22690375882353,157.5
Godzilla (Heisei) Collection,7,26.8,6.7,4.1,4.1,6.328571428571428,2.7292069999999997,2.05,28.428571428571427
Godzilla (Millennium) Collection,6,46.7,9.34,10.03739,10.03739,6.133333333333333,2.1399573333333333,10.03739,30.333333333333332
Godzilla (Showa) Collection,16,2.81,0.562,0.0,,5.975,3.4228425,,39.75
Golgo 13 Collection,1,0.0,,0.0,,6.1,1.934571,,19.0
Golmaal Collection,3,10.0,10.0,0.0,,5.233333333333333,2.8924156666666665,,16.333333333333332
Gone in 60 Seconds Trilogy,1,0.0,,0.0,,6.5,3.560274,,40.0
Gonin collection,1,0.0,,0.0,,7.2,1.51489,,6.0
Goon Collection,2,0.0,,6.483963,6.483963,6.25,7.5918075,,186.5
Goopy Bagha Trilogy,1,0.0,,0.0,,6.9,0.452808,,5.0
Gor Collection,2,0.0,,0.0,,2.55,1.0220585,,10.5
Gourmet Detective Collection,3,0.0,,0.0,,4.733333333333333,2.205012,,4.333333333333333
Grave Encounters Collection,2,1.0,1.0,0.0,,5.7,7.17318,,318.0
Grease Collection,2,19.2,9.6,196.98524600000002,98.49262300000001,6.050000000000001,11.0286315,15.725824621212121,909.0
Green Street Hooligans Collection,3,8.0,8.0,3.154346,3.154346,5.833333333333333,5.277672,,255.66666666666666
Grey Gardens Collection,2,0.4,0.4,0.0,,6.85,1.8300635,,26.5
Grindhouse Collection,2,25.0,25.0,25.037897,25.037897,6.6,11.8912605,1.0015158800000001,1234.0
Grown Ups Collection,2,160.0,80.0,518.4144670000001,259.20723350000003,5.9,16.696488000000002,3.2400904187500004,1463.0
Grumpy Old Men Collection,2,0.0,,0.0,,6.5,9.621191,,134.0
Guardians of the Galaxy Collection,2,370.0,185.0,1636.74477,818.372385,7.75,119.3112965,4.433036320147059,7436.0
Guinea Pig Collection,2,0.0,,0.0,,4.55,1.4462985,,27.5
Gumball 3000 Collection,1,0.0,,0.0,,6.0,0.098902,,1.0
Gunbuster Collection,1,0.0,,0.0,,6.5,1.116784,,5.0
Gwendolyn Shepherd Collection,2,0.0,,0.0,,6.75,8.850236500000001,,308.5
Göta kanal collection,1,0.0,,0.0,,5.4,0.804917,,12.0
Hababam Sınıfı Collection,4,0.0,,0.0,,7.275,0.9960530000000001,,10.5
Hailey Dean Mystery Collection,1,0.0,,0.0,,6.0,0.223859,,1.0
Half Past Dead Collection,2,14.5,7.25,0.0,,5.1,7.973974999999999,,45.5
Halloween (Rob Zombie Series) Collection,2,30.0,15.0,119.675375,59.8376875,5.5,9.5492425,3.9891791666666663,391.5
Halloween Collection,8,50.3,6.2875,247.168056,30.896007,5.65,8.989452125,3.395750347058824,347.0
Halloweentown Collection,4,0.0,,0.0,,6.05,5.137559749999999,,72.0
Hamilton Collection,4,6.629445,6.629445,3.142763,3.142763,5.925,2.710468749999999,,16.25
Hanzo the Razor Collection,3,0.0,,0.0,,6.266666666666667,1.0309806666666668,,12.0
Happily N'Ever After Collection,2,47.0,47.0,38.08577800000001,38.08577800000001,4.3,8.240098,0.8103357021276598,79.5
Happy Feet Collection,2,230.0,115.0,534.742074,267.371037,5.85,12.1146815,2.5001644476923075,919.0
"Hard Revenge, Milly Collection",2,0.0,,0.0,,4.6,0.49746199999999996,,6.5
Hard Target Collection,2,18.0,18.0,74.189677,74.189677,5.85,6.4525895,4.121648722222222,140.5
Hard Time Collection,1,0.0,,0.0,,5.3,0.159992,,2.0
Hardbodies Collection,2,0.0,,0.0,,4.55,1.1270345000000002,,13.0
Harold & Kumar Collection,3,40.0,13.333333333333334,102.81724299999999,34.27241433333333,6.266666666666667,10.711366333333332,2.6596564444444444,517.3333333333334
Harry Palmer Collection,4,0.0,,0.0,,5.3999999999999995,6.3976685,,36.75
Harry Potter Collection,8,1280.0,160.0,7707.367425,963.420928125,7.5375000000000005,26.25389325,6.1650856164102565,5983.25
Hatchet Collection,3,2.5,2.5,0.052604,0.052604,5.633333333333333,8.675947666666666,0.0210416,111.66666666666667
Hate Story Collection,2,0.0,,0.0,,5.45,1.031337,,11.5
Havoc Collection,2,9.0,9.0,0.0,,5.0,6.3747324999999995,,43.5
Hayride Collection,1,0.06,0.06,0.0,,5.1,0.224043,,6.0
He Who Dares Collection,1,1.0,1.0,0.0,,3.3,1.4298799999999998,,13.0
Heart of Gold Collection,3,15.3,7.65,43.842412,14.614137333333334,7.2,9.472571666666667,1.5651922734375001,237.33333333333334
"Heaven, Hell and Purgatory Collection",2,11.0,11.0,0.0,,6.55,3.6645190000000003,,42.0
Heavy Metal Collection,2,24.3,12.15,0.0,,5.75,5.575787999999999,,94.0
Heidi (Praesens-Film) Filmreihe,1,0.0,,0.0,,7.5,0.73248,,2.0
Hellboy (Animated) Collection,3,0.0,,0.0,,6.533333333333334,3.291618666666667,,16.666666666666668
Hellboy Collection,2,151.0,75.5,259.70705,129.853525,6.5,12.5677575,1.6958757622994654,1916.5
Hellraiser Collection,10,27.35,3.038888888888889,55.864723,13.96618075,4.99,6.3546357,4.0994975,133.3
Henry Fool Collection,3,0.0,,1.334786,1.334786,6.3999999999999995,3.6915933333333335,,21.333333333333332
Henry: Portrait of a Serial Killer Collection,2,0.111,0.111,0.0,,6.3,5.8349575,,73.5
Hentai Kamen Collection,1,0.0,,0.0,,6.3,4.095284,,34.0
Hera Pheri Collection,2,0.0,,0.0,,6.0,1.9193645,,27.0
Herbie Collection,6,50.0,50.0,66.002004,66.002004,5.533333333333334,6.113900833333333,1.32004008,149.33333333333334
Hercules (Lou Ferrigno) Collection,2,0.0,,10.676194,10.676194,4.65,1.4160225,,14.0
Hercules TV Movies,5,0.0,,0.0,,5.0,2.1364064,,19.0
Herr Lehmann Filmreihe,2,0.0,,0.0,,6.5,3.0603585,,21.5
Hidden Collection,2,0.0,,0.0,,4.65,2.7679934999999998,,45.0
High School Musical Collection,3,4.2,4.2,7.0,7.0,6.099999999999999,8.020025333333335,,930.0
Highlander Collection,5,110.0,22.0,74.099948,18.524987,4.74,9.852959600000002,0.5761444933333333,225.0
